VIN,open_recalls,name,status,nhtsa,date,Description,Safety,remedy
1FA6P8CF5L5189763,no,,,,,,,
1FA6P8CF7F5418187,yes,BRAKE STOP LAMPS REMAIN ON,Recall Incomplete,22R01/22R01,2022-01-07,"FORD MOTOR COMPANY IS CONDUCTING A SAFETY RECALL 22S02 ON CERTAIN 2014-2015 MODEL YEAR MUSTANG, FUSION AND MKZ VEHICLES REGISTERED IN CERTAIN HIGH AMBIENT TEMPERATURE STATES AND TERRITORIES.","A MISSING BRAKE PEDAL STOP BUMPER WILL RESULT IN THE BRAKE STOP LAMPS REMAINING ON CONTINUOUSLY, EVEN WHEN THE BRAKE PEDAL IS NOT APPLIED, WHICH MAY CONFUSE OTHER DRIVERS AND INCREASE THE RISK OF A CRASH. ON AUTOMATIC TRANSMISSION VEHICLES, A MISSING BRAKE PEDAL BUMPER COULD ALLOW THE TRANSMISSION TO BE SHIFTED OUT OF THE PARK POSITION WITHOUT DEPRESSING THE BRAKE, WHICH MAY RESULT IN A VEHICLE ROLLAWAY, INCREASING THE RISK OF A CRASH.",FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO REPLACE THE BRAKE PEDAL BUMPER FREE OF CHARGE PARTS AND LABOR.
1FA6P8CF7F5418187,yes,LUGGAGE COMPARTMENT LID WIRING INSPECTION AND REAR VIEW CAMERA IMPROPER FUNCTION,Recall Incomplete,22S06/22V082,2022-02-16,"ON YOUR VEHICLE, THE REAR VIEW CAMERA COULD INTERMITTENTLY DISPLAY A BLANK OR DISTORTED IMAGE.",".A REAR VIEW CAMERA THAT INTERMITTENTLY DISPLAYS A BLANK OR DISTORTED IMAGE MAY REDUCE THE DRIVERS VIEW OF WHAT IS BEHIND THE VEHICLE, INCREASING THE RISK OF A CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE FOR ALL MY2016-2017 AND A LIMITED NUMBER OF MY2015 2015MY OWNERS WILL RECEIVE A PARTS AVAILABLE OWNER LETTER ADVISING THEM TO SCHEDULE A SERVICE APPOINTMENT. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT AND REPAIR THE LUGGAGE COMPARTMENT LID WIRING HARNESS AS NECESSARY FREE OF CHARGE PARTS AND LABOR.
1FA6P8CF7K5134195,no,,,,,,,
1FA6P8CF7K5197734,no,,,,,,,
1FA6P8CF8J5179869,no,,,,,,,
1FA6P8CF8K5102274,no,,,,,,,
1FA6P8CF9H5246408,yes,LUGGAGE COMPARTMENT LID WIRING INSPECTION AND REAR VIEW CAMERA IMPROPER FUNCTION,Recall Incomplete,22S06/22V082,2022-02-16,"ON YOUR VEHICLE, THE REAR VIEW CAMERA COULD INTERMITTENTLY DISPLAY A BLANK OR DISTORTED IMAGE.",".A REAR VIEW CAMERA THAT INTERMITTENTLY DISPLAYS A BLANK OR DISTORTED IMAGE MAY REDUCE THE DRIVERS VIEW OF WHAT IS BEHIND THE VEHICLE, INCREASING THE RISK OF A CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE FOR ALL MY2016-2017 AND A LIMITED NUMBER OF MY2015 2015MY OWNERS WILL RECEIVE A PARTS AVAILABLE OWNER LETTER ADVISING THEM TO SCHEDULE A SERVICE APPOINTMENT. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT AND REPAIR THE LUGGAGE COMPARTMENT LID WIRING HARNESS AS NECESSARY FREE OF CHARGE PARTS AND LABOR.
1FA6P8R0XM5550313,no,,,,,,,
1FA6P8TD3L5135828,no,,,,,,,
1FA6P8TH2F5396391,yes,LUGGAGE COMPARTMENT LID WIRING INSPECTION AND REAR VIEW CAMERA IMPROPER FUNCTION,Recall Incomplete,22S06/22V082,2022-02-16,"ON YOUR VEHICLE, THE REAR VIEW CAMERA COULD INTERMITTENTLY DISPLAY A BLANK OR DISTORTED IMAGE.",".A REAR VIEW CAMERA THAT INTERMITTENTLY DISPLAYS A BLANK OR DISTORTED IMAGE MAY REDUCE THE DRIVERS VIEW OF WHAT IS BEHIND THE VEHICLE, INCREASING THE RISK OF A CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE FOR ALL MY2016-2017 AND A LIMITED NUMBER OF MY2015 2015MY OWNERS WILL RECEIVE A PARTS AVAILABLE OWNER LETTER ADVISING THEM TO SCHEDULE A SERVICE APPOINTMENT. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT AND REPAIR THE LUGGAGE COMPARTMENT LID WIRING HARNESS AS NECESSARY FREE OF CHARGE PARTS AND LABOR.
1FA6P8TH2F5396391,yes,BRAKE STOP LAMPS REMAIN ON,Recall Incomplete,22R01/22R01,2022-01-07,"FORD MOTOR COMPANY IS CONDUCTING A SAFETY RECALL 22S02 ON CERTAIN 2014-2015 MODEL YEAR MUSTANG, FUSION AND MKZ VEHICLES REGISTERED IN CERTAIN HIGH AMBIENT TEMPERATURE STATES AND TERRITORIES.","A MISSING BRAKE PEDAL STOP BUMPER WILL RESULT IN THE BRAKE STOP LAMPS REMAINING ON CONTINUOUSLY, EVEN WHEN THE BRAKE PEDAL IS NOT APPLIED, WHICH MAY CONFUSE OTHER DRIVERS AND INCREASE THE RISK OF A CRASH. ON AUTOMATIC TRANSMISSION VEHICLES, A MISSING BRAKE PEDAL BUMPER COULD ALLOW THE TRANSMISSION TO BE SHIFTED OUT OF THE PARK POSITION WITHOUT DEPRESSING THE BRAKE, WHICH MAY RESULT IN A VEHICLE ROLLAWAY, INCREASING THE RISK OF A CRASH.",FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO REPLACE THE BRAKE PEDAL BUMPER FREE OF CHARGE PARTS AND LABOR.
1FA6P8TH2F5396391,yes,DOOR LATCH REPEAT REPAIR,Recall Incomplete,20S30/20V331,2020-06-08,"YOUR VEHICLE WAS PREVIOUSLY REPAIRED UNDER SAFETY RECALL 15S16 OR 16S30. DURING THAT REPAIR, YOUR VEHICLES DOOR LATCHES WERE TO BE REPLACED TO HELP REDUCE THE RISK OF DOORS NOT CLOSING OR DOORS OPENING WHILE DRIVING. IT IS POSSIBLE THAT ONE OR MORE OF YOUR DOOR LATCHES WAS NOT REPLACED OR MAY NOT HAVE BEEN REPLACED CORRECTLY.","IF A DOOR LATCH WAS NOT REPLACED, THERE IS STILL A RISK THAT THE PAWL SPRING TAB INSIDE THE DOOR LATCH COULD BREAK. THIS CONDITION WILL TYPICALLY PREVENT THE DOOR FROM LATCHING. IN CERTAIN SITUATIONS, WHERE THE DOOR IS ABLE TO BE CLOSED, THE DOOR MAY UNLATCH WHILE DRIVING, INCREASING THE RISK OF INJURY","THE DOOR LATCH DATE CODES IN YOUR VEHICLE NEED TO BE INSPECTED TO VERIFY THAT THE PREVIOUS DOOR LATCH RECALL REPAIR WAS COMPLETED AS INTENDED. FOR YOUR CONVENIENCE AND TO ENCOURAGE THE CONTINUED SOCIAL DISTANCING REQUIREMENTS BY MANY STATE AND LOCAL GOVERNMENTS RELATED TO COVID-19, FORD IS PROVIDING YOU WITH THE OPTION TO COMPLETE THIS SIMPLE INSPECTION YOURSELF USING THE ATTACHED SELF-INSPECTION SHEET. BY UTILIZING THIS OPTION, YOU SHOULD NOT NEED TO TAKE YOUR VEHICLE TO YOUR DEALER UNLESS YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS DOOR WILL NOT LATCH OR OPENS WHILE DRIVING. IN THE UNLIKELY EVENT THAT THE SYSTEM CANNOT CONFIRM THE LATCHES ON YOUR VEHICLE BASED ON YOUR INPUT, OR IF YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS, YOU WILL NEED TO TAKE YOUR VEHICLE TO YOUR DEALERSHIP FOR ADDITIONAL INSPECTION AND/OR REPAIRS. IF YOU DO NOT WISH TO COMPLETE THIS INSPECTION YOURSELF, YOUR DEALER WILL INSPECT YOUR VEHICLE FOR YOU"
1FA6P8TH5K5143799,no,,,,,,,
1FA6P8TH5L5153959,no,,,,,,,
1FA6P8TH6H5225338,yes,LUGGAGE COMPARTMENT LID WIRING INSPECTION AND REAR VIEW CAMERA IMPROPER FUNCTION,Recall Incomplete,22S06/22V082,2022-02-16,"ON YOUR VEHICLE, THE REAR VIEW CAMERA COULD INTERMITTENTLY DISPLAY A BLANK OR DISTORTED IMAGE.",".A REAR VIEW CAMERA THAT INTERMITTENTLY DISPLAYS A BLANK OR DISTORTED IMAGE MAY REDUCE THE DRIVERS VIEW OF WHAT IS BEHIND THE VEHICLE, INCREASING THE RISK OF A CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE FOR ALL MY2016-2017 AND A LIMITED NUMBER OF MY2015 2015MY OWNERS WILL RECEIVE A PARTS AVAILABLE OWNER LETTER ADVISING THEM TO SCHEDULE A SERVICE APPOINTMENT. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT AND REPAIR THE LUGGAGE COMPARTMENT LID WIRING HARNESS AS NECESSARY FREE OF CHARGE PARTS AND LABOR.
1FA6P8TH6K5156819,no,,,,,,,
1FA6P8TH9K5105055,no,,,,,,,
1FA6p8CF1H5301787,yes,LUGGAGE COMPARTMENT LID WIRING INSPECTION AND REAR VIEW CAMERA IMPROPER FUNCTION,Recall Incomplete,22S06/22V082,2022-02-16,"ON YOUR VEHICLE, THE REAR VIEW CAMERA COULD INTERMITTENTLY DISPLAY A BLANK OR DISTORTED IMAGE.",".A REAR VIEW CAMERA THAT INTERMITTENTLY DISPLAYS A BLANK OR DISTORTED IMAGE MAY REDUCE THE DRIVERS VIEW OF WHAT IS BEHIND THE VEHICLE, INCREASING THE RISK OF A CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE FOR ALL MY2016-2017 AND A LIMITED NUMBER OF MY2015 2015MY OWNERS WILL RECEIVE A PARTS AVAILABLE OWNER LETTER ADVISING THEM TO SCHEDULE A SERVICE APPOINTMENT. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT AND REPAIR THE LUGGAGE COMPARTMENT LID WIRING HARNESS AS NECESSARY FREE OF CHARGE PARTS AND LABOR.
1FABP42E1KF310345,invalid_vin,,,,,,,
1FABP44E8KF236094,invalid_vin,,,,,,,
1FABP45E0JF249600,invalid_vin,,,,,,,
1FACP40M8NF146269,invalid_vin,,,,,,,
1FACP42E2LF178329,invalid_vin,,,,,,,
1FACP42E5PF181957,invalid_vin,,,,,,,
1FADP3E23EL238817,yes,DOOR LATCH REPEAT REPAIR,Recall Incomplete,20S30/20V331,2020-06-08,"YOUR VEHICLE WAS PREVIOUSLY REPAIRED UNDER SAFETY RECALL 15S16 OR 16S30. DURING THAT REPAIR, YOUR VEHICLES DOOR LATCHES WERE TO BE REPLACED TO HELP REDUCE THE RISK OF DOORS NOT CLOSING OR DOORS OPENING WHILE DRIVING. IT IS POSSIBLE THAT ONE OR MORE OF YOUR DOOR LATCHES WAS NOT REPLACED OR MAY NOT HAVE BEEN REPLACED CORRECTLY.","IF A DOOR LATCH WAS NOT REPLACED, THERE IS STILL A RISK THAT THE PAWL SPRING TAB INSIDE THE DOOR LATCH COULD BREAK. THIS CONDITION WILL TYPICALLY PREVENT THE DOOR FROM LATCHING. IN CERTAIN SITUATIONS, WHERE THE DOOR IS ABLE TO BE CLOSED, THE DOOR MAY UNLATCH WHILE DRIVING, INCREASING THE RISK OF INJURY","THE DOOR LATCH DATE CODES IN YOUR VEHICLE NEED TO BE INSPECTED TO VERIFY THAT THE PREVIOUS DOOR LATCH RECALL REPAIR WAS COMPLETED AS INTENDED. FOR YOUR CONVENIENCE AND TO ENCOURAGE THE CONTINUED SOCIAL DISTANCING REQUIREMENTS BY MANY STATE AND LOCAL GOVERNMENTS RELATED TO COVID-19, FORD IS PROVIDING YOU WITH THE OPTION TO COMPLETE THIS SIMPLE INSPECTION YOURSELF USING THE ATTACHED SELF-INSPECTION SHEET. BY UTILIZING THIS OPTION, YOU SHOULD NOT NEED TO TAKE YOUR VEHICLE TO YOUR DEALER UNLESS YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS DOOR WILL NOT LATCH OR OPENS WHILE DRIVING. IN THE UNLIKELY EVENT THAT THE SYSTEM CANNOT CONFIRM THE LATCHES ON YOUR VEHICLE BASED ON YOUR INPUT, OR IF YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS, YOU WILL NEED TO TAKE YOUR VEHICLE TO YOUR DEALERSHIP FOR ADDITIONAL INSPECTION AND/OR REPAIRS. IF YOU DO NOT WISH TO COMPLETE THIS INSPECTION YOURSELF, YOUR DEALER WILL INSPECT YOUR VEHICLE FOR YOU"
1FADP3F22EL368957,yes,SIDE DOOR LATCH REPLACEMENT,Recall Incomplete,16S30/16V643,2016-09-02,"A DOOR LATCH WITH A FRACTURED PAWL SPRING TAB TYPICALLY RESULTS IN A ""DOOR WILL NOT CLOSE"" CONDITION. A DOOR THAT OPENS WHILE DRIVING INCREASES THE RISK OF INJURY. AS OF 9/2/16, FORD'S INVESTIGATION INTO THIS CONCERN HAS IDENTIFIED A TOTAL OF ONE ALLEGED ACCIDENT AND THREE ALLEGED INJURIES THAT FORD BELIEVES MAY BE RELATED. ONE ALLEGED INJURY WAS TO AN OCCUPANT'S ARM FROM A DOOR THAT REPORTEDLY OPENED AND BOUNCED BACK. ANOTHER INJURY INVOLVED A DRIVER WHO ALLEGED HER HAND WAS INJURED WHEN TRYING TO GRAB A DOOR THAT OPENED. THE THIRD INJURY WAS TO AN OCCUPANT WHO ALLEGEDLY RECEIVED SCRATCHES FROM A REAR DOOR THAT OPENED WHILE DRIVING. FORD HAS NO FURTHER INFORMATION RELATING TO THESE REPORTS. THE ALLEGED ACCIDENT OCCURRED AFTER THE DRIVER'S DOOR REPORTEDLY OPENED IN A PARKING LOT AND RESULTED IN BUMPER DAMAGE, BUT FORD HAS NO ADDITIONAL INFORMATION.","A DOOR LATCH WITH A FRACTURED PAWL SPRING TAB TYPICALLY RESULTS IN A ""DOOR WILL NOT CLOSE"" CONDITION. A DOOR THAT OPENS WHILE DRIVING INCREASES THE RISK OF INJURY.","OWNERS WILL BE NOTIFIED BY MAIL AND INSTRUCTED TO TAKE THEIR VEHICLE TO A FORD OR LINCOLN DEALER TO HAVE ALL AFFECTED DOOR LATCHES REPLACED WITH A MORE ROBUST SERVICE PART. THERE WILL BE NO CHARGE FOR THIS SERVICE. PARTS AVAILABILITY IS PRESENTLY VERY LIMITED. IT IS RECOGNIZED THAT CERTAIN FACTORS AFFECT THE RATE OF REPORTS AND MAY BE USED IN PRIORITIZING THE PHASED MAILING OF REMEDY NOTIFICATIONS AS PARTS BECOME AVAILABLE. FORD PROVIDED THE GENERAL REIMBURSEMENT PLAN FOR THE COST OF REMEDIES PAID FOR BY VEHICLE OWNERS PRIOR TO NOTIFICATION OF A SAFETY RECALL TO THE AGENCY IN FEBRUARY 2015. THE ENDING DATE FOR REIMBURSEMENT ELIGIBILITY IS OCTOBER 31, 2016. FORD WILL FORWARD A COPY OF THE NOTIFICATION LETTERS TO DEALERS TO THE AGENCY WHEN AVAILABLE."
1FADP3F23DL308751,no,,,,,,,
1FADP3F26DL315211,no,,,,,,,
1FADP3F26GL401655,no,,,,,,,
1FADP3F27DL188260,no,,,,,,,
1FADP3F27EL155082,yes,DOOR LATCH REPEAT REPAIR,Recall Incomplete,20S30/20V331,2020-06-08,"YOUR VEHICLE WAS PREVIOUSLY REPAIRED UNDER SAFETY RECALL 15S16 OR 16S30. DURING THAT REPAIR, YOUR VEHICLES DOOR LATCHES WERE TO BE REPLACED TO HELP REDUCE THE RISK OF DOORS NOT CLOSING OR DOORS OPENING WHILE DRIVING. IT IS POSSIBLE THAT ONE OR MORE OF YOUR DOOR LATCHES WAS NOT REPLACED OR MAY NOT HAVE BEEN REPLACED CORRECTLY.","IF A DOOR LATCH WAS NOT REPLACED, THERE IS STILL A RISK THAT THE PAWL SPRING TAB INSIDE THE DOOR LATCH COULD BREAK. THIS CONDITION WILL TYPICALLY PREVENT THE DOOR FROM LATCHING. IN CERTAIN SITUATIONS, WHERE THE DOOR IS ABLE TO BE CLOSED, THE DOOR MAY UNLATCH WHILE DRIVING, INCREASING THE RISK OF INJURY","THE DOOR LATCH DATE CODES IN YOUR VEHICLE NEED TO BE INSPECTED TO VERIFY THAT THE PREVIOUS DOOR LATCH RECALL REPAIR WAS COMPLETED AS INTENDED. FOR YOUR CONVENIENCE AND TO ENCOURAGE THE CONTINUED SOCIAL DISTANCING REQUIREMENTS BY MANY STATE AND LOCAL GOVERNMENTS RELATED TO COVID-19, FORD IS PROVIDING YOU WITH THE OPTION TO COMPLETE THIS SIMPLE INSPECTION YOURSELF USING THE ATTACHED SELF-INSPECTION SHEET. BY UTILIZING THIS OPTION, YOU SHOULD NOT NEED TO TAKE YOUR VEHICLE TO YOUR DEALER UNLESS YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS DOOR WILL NOT LATCH OR OPENS WHILE DRIVING. IN THE UNLIKELY EVENT THAT THE SYSTEM CANNOT CONFIRM THE LATCHES ON YOUR VEHICLE BASED ON YOUR INPUT, OR IF YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS, YOU WILL NEED TO TAKE YOUR VEHICLE TO YOUR DEALERSHIP FOR ADDITIONAL INSPECTION AND/OR REPAIRS. IF YOU DO NOT WISH TO COMPLETE THIS INSPECTION YOURSELF, YOUR DEALER WILL INSPECT YOUR VEHICLE FOR YOU"
1FADP3F27EL304767,yes,DOOR LATCH REPEAT REPAIR,Recall Incomplete,20S30/20V331,2020-06-08,"YOUR VEHICLE WAS PREVIOUSLY REPAIRED UNDER SAFETY RECALL 15S16 OR 16S30. DURING THAT REPAIR, YOUR VEHICLES DOOR LATCHES WERE TO BE REPLACED TO HELP REDUCE THE RISK OF DOORS NOT CLOSING OR DOORS OPENING WHILE DRIVING. IT IS POSSIBLE THAT ONE OR MORE OF YOUR DOOR LATCHES WAS NOT REPLACED OR MAY NOT HAVE BEEN REPLACED CORRECTLY.","IF A DOOR LATCH WAS NOT REPLACED, THERE IS STILL A RISK THAT THE PAWL SPRING TAB INSIDE THE DOOR LATCH COULD BREAK. THIS CONDITION WILL TYPICALLY PREVENT THE DOOR FROM LATCHING. IN CERTAIN SITUATIONS, WHERE THE DOOR IS ABLE TO BE CLOSED, THE DOOR MAY UNLATCH WHILE DRIVING, INCREASING THE RISK OF INJURY","THE DOOR LATCH DATE CODES IN YOUR VEHICLE NEED TO BE INSPECTED TO VERIFY THAT THE PREVIOUS DOOR LATCH RECALL REPAIR WAS COMPLETED AS INTENDED. FOR YOUR CONVENIENCE AND TO ENCOURAGE THE CONTINUED SOCIAL DISTANCING REQUIREMENTS BY MANY STATE AND LOCAL GOVERNMENTS RELATED TO COVID-19, FORD IS PROVIDING YOU WITH THE OPTION TO COMPLETE THIS SIMPLE INSPECTION YOURSELF USING THE ATTACHED SELF-INSPECTION SHEET. BY UTILIZING THIS OPTION, YOU SHOULD NOT NEED TO TAKE YOUR VEHICLE TO YOUR DEALER UNLESS YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS DOOR WILL NOT LATCH OR OPENS WHILE DRIVING. IN THE UNLIKELY EVENT THAT THE SYSTEM CANNOT CONFIRM THE LATCHES ON YOUR VEHICLE BASED ON YOUR INPUT, OR IF YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS, YOU WILL NEED TO TAKE YOUR VEHICLE TO YOUR DEALERSHIP FOR ADDITIONAL INSPECTION AND/OR REPAIRS. IF YOU DO NOT WISH TO COMPLETE THIS INSPECTION YOURSELF, YOUR DEALER WILL INSPECT YOUR VEHICLE FOR YOU"
1FADP3F28FL242443,no,,,,,,,
