VIN,open_recalls,Name,Status,nhtsa,Date,Description,safety,Repair_description,Unnamed: 9
1GNFK163X8J120784,no,HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - ADD WIRE HARNESS,complete,,,,,,
1GNFK163X8J120784,no,NAVIGATION SYSTEM MAP DVD UPGRADE,complete,,,,,,
1GNFK16K6PJ339778,no,,complete,,,,,Recall Completed,
1GNFK16KXSJ436572,no,THROTTLE CABLE/DASH MAT CONTACT,complete,,,,,,
1GNFK16KXSJ436572,no,WINDSHIELD WIPER MOTOR FAILURES,complete,98V150,1998-07-01,,,,
1GNFK16RXXJ493987,yes,FMVSS NECK EXTENSION REQUIREMENTS,incomplete,00V122,2000-04-27,"Light duty pickup trucks and sport utility vehicles. These vehicles do not comply with the occupant protection requirements of FMVSS No. 208, ""Occupant Crash Protection.""","In the event of a vehicle crash, the right front passenger restraint systems may not meet the neck extension requirements.",Dealers will install a tray insert on the top of the passenger side of the instrument panel. The tray insert corrects the noncompliance free of charge.,
1GNFK16T21J246000,no,FUEL MODULE RESERVOIR ASSEMBLY,complete,05V155,2005-04-14,Certain trucks and sport utility vehicles were built with fuel module reservoir assemblies that contain fuel pump wire connectors that may overheat under certain operating conditions.,"If the ignition circuit wire is exposed, the fuel pump fuse will blow, disabling the fuel pump and causing an engine stall or no-start condition. If sufficient heat is conducted to the pass-through connector, a hole in the connector may result, which may cause a 'Service Engine Soon' light to be illuminated during the emission system diagnostic routine. Fuel vapor and in some cases liquid fuel may leak out of the fuel tank through the hole in the connector body. Fuel leakage, in the presence of an ignition source, could result in a fire. Also if the ignition circuit or ground wire is exposed and shorts to the fuel level sender card wires, inaccurate fuel level readings may result.","Dealers will remove the fuel tank, and remove the module reservoir assemblies from the tank, and install a new service kit free of charge.",
1GNFK16T91J273579,no,FUEL MODULE RESERVOIR ASSEMBLY,complete,05V155,2005-04-14,Certain trucks and sport utility vehicles were built with fuel module reservoir assemblies that contain fuel pump wire connectors that may overheat under certain operating conditions.,"If the ignition circuit wire is exposed, the fuel pump fuse will blow, disabling the fuel pump and causing an engine stall or no-start condition. If sufficient heat is conducted to the pass-through connector, a hole in the connector may result, which may cause a 'Service Engine Soon' light to be illuminated during the emission system diagnostic routine. Fuel vapor and in some cases liquid fuel may leak out of the fuel tank through the hole in the connector body. Fuel leakage, in the presence of an ignition source, could result in a fire. Also if the ignition circuit or ground wire is exposed and shorts to the fuel level sender card wires, inaccurate fuel level readings may result.","Dealers will remove the fuel tank, and remove the module reservoir assemblies from the tank, and install a new service kit free of charge.",
1GNFK16Z35J227529,no,,,,,,,,
1GNFK16Z56J143617,no,,,,,,,,
1GNFK16Z72J140583,yes,FRONT WHEEL SPEED SENSOR CORROSION,incomplete,05V379,2005-08-29,"Certain pickup trucks and sport utility vehicles may experience unwanted antilock brake system (ABS) activation. This condition is more likely to occur in environmentally corrosive areas. This recall will be launched in the ""salt belt"" states of Connecticut, Delaware, Illinois, Indiana, Iowa, Maryland, Massachusetts, Maine, Michigan, Minnesota, Missouri, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, West Virginia, Wisconsin and the District of Columbia only.","This can cause increased stopping distances during low-speed brake applications, which could result in a crash.","Dealers will remove the wheel speed sensor and thoroughly clean the wheel speed sensor mounting surface on the bearing, apply rust inhibitor to the cleaned surface, grease the mounting surface, reinstall the wheel speed sensor, and check the peak-to-peak output voltage to ensure the wheel speed signal is within specifications free of charge.",
1GNFK16Z93J275646,no,SECOND ROW CENTER SAFETY BELT,complete,05V163,2005-04-22,"On certain crew cab pickup trucks and sport utility vehicles, the 2nd row center occupant seat belt routing may make it difficult to position the lap portion of the safety belt low around the hips of occupants, especially smaller occupants, seated in this position. Appropriate use of a child seat or booster seat, as recommended for small children, does improve the fit condition for this user group. In addition to instructions on proper infant and young child restraint (with child seats or boosters), special verbiage for restraining older child is included in the owner's manual. Also, the suggested seat belt fit/routing for adults, irrespective of seating position, is described in the owner's manual text.","A lap portion of the seat belt routing that is not low and snug on the hips can allow the lap belt to ride up on an occupant's abdomen instead of fitting low around their hipbones, and therefore, can expose them to more risk of abdominal and internal organ injury.","Dealers will cut open the guide loop, remove a portion of the loop, and then the remaining two sides should be folded over and secured with a retainer free of charge.",
1GNFK16ZX2J100837,no,FRONT WHEEL SPEED SENSOR CORROSION,complete,05V379,2005-08-29,"Certain pickup trucks and sport utility vehicles may experience unwanted antilock brake system (ABS) activation. This condition is more likely to occur in environmentally corrosive areas. This recall will be launched in the ""salt belt"" states of Connecticut, Delaware, Illinois, Indiana, Iowa, Maryland, Massachusetts, Maine, Michigan, Minnesota, Missouri, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, West Virginia, Wisconsin and the District of Columbia only.","This can cause increased stopping distances during low-speed brake applications, which could result in a crash.","Dealers will remove the wheel speed sensor and thoroughly clean the wheel speed sensor mounting surface on the bearing, apply rust inhibitor to the cleaned surface, grease the mounting surface, reinstall the wheel speed sensor, and check the peak-to-peak output voltage to ensure the wheel speed signal is within specifications free of charge.",
1GNFK16ZX4J131847,no,SECOND ROW CENTER SAFETY BELT,complete,05V163,2005-04-22,"On certain crew cab pickup trucks and sport utility vehicles, the 2nd row center occupant seat belt routing may make it difficult to position the lap portion of the safety belt low around the hips of occupants, especially smaller occupants, seated in this position. Appropriate use of a child seat or booster seat, as recommended for small children, does improve the fit condition for this user group. In addition to instructions on proper infant and young child restraint (with child seats or boosters), special verbiage for restraining older child is included in the owner's manual. Also, the suggested seat belt fit/routing for adults, irrespective of seating position, is described in the owner's manual text.","A lap portion of the seat belt routing that is not low and snug on the hips can allow the lap belt to ride up on an occupant's abdomen instead of fitting low around their hipbones, and therefore, can expose them to more risk of abdominal and internal organ injury.","Dealers will cut open the guide loop, remove a portion of the loop, and then the remaining two sides should be folded over and secured with a retainer free of charge.",
1GNFK23059R229642,no,Front Passenger Airbag Takata Inflator - Priority Group 9,complete,21V053,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK23099R237095,yes,Front Passenger Airbag Takata Inflator - Priority Group 6,incomplete,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK230X9R272499,yes,Front Passenger Airbag Takata Inflator - Priority Group 8,incomplete,21V052,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK26349R150680,yes,Front Passenger Airbag Takata Inflator - Priority Group 9,incomplete,21V053,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK26369R211334,yes,Front Passenger Airbag Takata Inflator - Priority Group 8,incomplete,21V052,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK33069R207042,no,Front Passenger Airbag Takata Inflator - Priority Group 9,complete,21V053,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK33099R297349,yes,Front Passenger Airbag Takata Inflator - Priority Group 6,incomplete,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNGC26U92R248216,no,,,,,,,,
1GNGK26J3XJ527515,no,,,,,,,,
1GNGK26R3XJ491296,no,,,,,,,,
1GNGV26K1LF138501,no,,complete,,,,,Recall Completed,
1GNGV26K1LF138501,no,AUTOMATIC TRANSMISSION FLUID SYSTEM CONTAINMENT - CHECK 2D20/2D21 & 3D09,complete,,,,,,
1GNGV26K4MF132774,yes,THROTTLE POSITION SENSOR,incomplete,,,,,,
1GNLC2E01ER184755,no,Front Passenger Airbag Takata Inflator - Priority Group 10,complete,21V054,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNLC2E01ER184755,no,Engine Cooling Fan,complete,16V868,2016-11-28,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2010 – 2014 Chevrolet Tahoe vehicles with special equipment options for police or government service. Under heavy police use conditions, the passenger-side under-hood cooling fan assembly in these vehicles may be susceptible to repeated fluid intrusion, which could lead to corrosion of wiring inside the fan motor over time. Such corrosion can, under certain conditions, cause an electrical short circuit.","A short circuit caused by corrosion can create elevated temperatures within the fan motor, which can increase the risk of an engine-compartment fire while the vehicle is running.","Dealers will replace the affected fan motor and shroud, extend wiring and re-orient the fan motor to reduce the risk of corrosion.",
1GNLC2E0XDR218299,yes,Front Passenger Airbag Takata Inflator - Priority Group 10,incomplete,21V054,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNLC2E0XDR218299,no,Engine Cooling Fan,complete,16V868,2016-11-28,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2010 – 2014 Chevrolet Tahoe vehicles with special equipment options for police or government service. Under heavy police use conditions, the passenger-side under-hood cooling fan assembly in these vehicles may be susceptible to repeated fluid intrusion, which could lead to corrosion of wiring inside the fan motor over time. Such corrosion can, under certain conditions, cause an electrical short circuit.","A short circuit caused by corrosion can create elevated temperatures within the fan motor, which can increase the risk of an engine-compartment fire while the vehicle is running.","Dealers will replace the affected fan motor and shroud, extend wiring and re-orient the fan motor to reduce the risk of corrosion.",
1GNLC2E0XDR219839,no,Front Passenger Airbag Takata Inflator - Priority Group 9,complete,21V053,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNLC2E0XDR219839,no,Engine Cooling Fan,complete,16V868,2016-11-28,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2010 – 2014 Chevrolet Tahoe vehicles with special equipment options for police or government service. Under heavy police use conditions, the passenger-side under-hood cooling fan assembly in these vehicles may be susceptible to repeated fluid intrusion, which could lead to corrosion of wiring inside the fan motor over time. Such corrosion can, under certain conditions, cause an electrical short circuit.","A short circuit caused by corrosion can create elevated temperatures within the fan motor, which can increase the risk of an engine-compartment fire while the vehicle is running.","Dealers will replace the affected fan motor and shroud, extend wiring and re-orient the fan motor to reduce the risk of corrosion.",
1GNLCDEC4GR278671,no,Frontal Airbag and Pretensioner Non Deploy,complete,16V651,2016-09-08,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014-2017 model year Chevrolet Silverado LD, GMC Sierra LD, Buick Encore, Chevrolet Trax, Chevrolet Caprice Police, and Chevrolet Corvette vehicles, 2014-2016 model year Buick Lacrosse, Chevrolet Spark EV, and Chevrolet SS vehicles and 2015-2017 model year Chevrolet Silverado HD, GMC Sierra HD, GMC Yukon, GMC Yukon XL, Cadillac Escalade Cadillac Escalade ESV, Chevrolet Suburban, and Chevrolet Tahoe vehicles. The sensing and diagnostic module (SDM) in these vehicles, which controls airbag and pretensioner deployment, contains a software defect which may prevent the deployment of frontal airbags and pretensioners in certain rare circumstances. If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","Reprogram the SDM with new software that eliminates this defect. In vehicles with any previous deployment events recorded in the SDM, dealers will replace the existing SDM with a new SDM prior to programming and setup. Note: Before replacing the SDM, any airbag related Diagnostic Trouble Codes should be identified, diagnosed, and corrected prior to SDM replacement. Faulty SIR components in need of replacement are unrelated to this safety recall and are not covered under the terms of this safety recall.",
1GNLCDEC4GR278671,no,BRAKE PEDAL PIVOT NUT/BOLT LOOSE,complete,16V069,2016-02-03,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2015 – 2016 Chevrolet Silverado and GMC Sierra 2500/3500 Heavy Duty Pickup Trucks and Chevrolet Tahoe PPV vehicles. The brake pedal pivot nut on these vehicles may become loose, causing the brake pedal to be loose or inoperative.","If the brake pedal becomes loose or inoperative, the driver may be unable to safely stop the vehicle through application of the brake pedal, increasing the risk of a crash. A loose pedal may also interfere with the accelerator pedal, increasing the risk of a crash.","Dealers will inspect and, if necessary, add adhesive to the nut and reinstall the bolt at an increased torque, free of charge.",
1GNLCDEC4GR278671,no,Seat belt tensioner,complete,18V291,2018-05-03,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2015 – 2016 Chevrolet Silverado and Tahoe police and special-service vehicles. In rare circumstances based on usage, the flexible steel cable that connects the driver’s seat belt to the outboard side of the seat (the “pretensioner cable”) can fatigue and may separate over time as a result of occupant movement into the driver’s seat. If a pretensioner cable were to break, it would reduce the effectiveness of the vehicle’s seat belts and increase the risk of injury to the driver in a crash.","A fatigued cable could break, reducing the effectiveness of the vehicle’s seat belts and increasing the risk of injury to the driver during a crash.",Dealers will replace the pretensioner cable and seat side-shield.,
1GNLCDEC4GR278671,no,Increased Brake Pedal Effort,complete,19V645,2019-09-06,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014-2018 model year Cadillac Escalade, Chevrolet Silverado, Chevrolet Suburban, Chevrolet Tahoe, GMC Sierra, and GMC Yukon vehicles. In some circumstances, these vehicle may have a condition in which the engine-mounted mechanical vacuum pump output may decrease over time, decreasing the amount of vacuum/power brake assist.",.,Dealers will reprogram the electronic brake control module with a new calibration that will improve how the system utilizes the hydraulic brake boost assist function when vacuum assist is depleted.,
1GNLCDEC4GR278671,no,Hard Pedal at Low Speed Stops - Expires 8/31/21,complete,,,"Certain 2015 - 2018 model year Chevrolet Silverado vehicles equipped with special service package (RPO 5W4) and certain 2015 – 2019 Chevrolet Tahoe vehicles equipped with police package (RPO 9C1) or special service package (RPO 5W4) may have a condition in which frequent, repeated brake applications at low speed or idle speeds can deplete available brake vacuum assist faster than vacuum can be replenished by the system, which can lead to increased brake pedal effort, hard brake pedal and potentially increased stopping distance.",,These vehicles utilize Hydraulic Brake Boost Assist to supply additional hydraulic pressure when the vacuum boost is not sufficient to achieve the driver’s intended brake force. Dealers will reprogram the Electronic Brake Control Module in these vehicles with a new calibration that will improve how the system utilizes the Hydraulic Brake Boost Assist function when vacuum assist is depleted.,
1GNLCDEC4LR298168,no,,,,,,,,
